Log_File,Child_Node,Reward
geometric_shapes_37,6,0.36
geometric_shapes_37,7,0.34
geometric_shapes_37,8,0.34
geometric_shapes_37,9,0.36
geometric_shapes_37,10,0.36
geometric_shapes_37,11,0.36
geometric_shapes_37,12,0.36
geometric_shapes_37,13,0.34
geometric_shapes_37,14,0.34
geometric_shapes_37,15,0.48
geometric_shapes_37,16,0.36
geometric_shapes_37,17,0.3
geometric_shapes_37,18,0.34
geometric_shapes_37,19,0.34
geometric_shapes_37,20,0.32
geometric_shapes_37,21,0.34
geometric_shapes_37,22,0.4
geometric_shapes_37,23,0.42
geometric_shapes_37,24,0.3
geometric_shapes_37,25,0.42
geometric_shapes_37,26,0.4
geometric_shapes_37,27,0.42
geometric_shapes_37,28,0.18
geometric_shapes_37,29,0.48
geometric_shapes_37,30,0.38
geometric_shapes_37,31,0.48
geometric_shapes_37,32,0.36
geometric_shapes_37,33,0.36
geometric_shapes_37,34,0.42
geometric_shapes_37,35,0.32
geometric_shapes_37,36,0.36
geometric_shapes_37,37,0.38
geometric_shapes_37,38,0.48
geometric_shapes_37,39,0.42
geometric_shapes_37,40,0.38
geometric_shapes_37,41,0.3
geometric_shapes_37,42,0.4
geometric_shapes_37,43,0.38
geometric_shapes_37,44,0.52
geometric_shapes_37,45,0.38
geometric_shapes_37,46,0.34
geometric_shapes_37,47,0.28
geometric_shapes_37,48,0.36
geometric_shapes_37,49,0.34
geometric_shapes_37,50,0.46
geometric_shapes_37,51,0.42
geometric_shapes_37,52,0.36
geometric_shapes_37,53,0.44
geometric_shapes_37,54,0.34
geometric_shapes_37,55,0.28
geometric_shapes_37,56,0.46
geometric_shapes_37,57,0.34
geometric_shapes_112,1,0.36
geometric_shapes_112,2,0.32
geometric_shapes_112,3,0.3
geometric_shapes_112,4,0.38
geometric_shapes_112,5,0.32
geometric_shapes_112,6,0.34
geometric_shapes_112,7,0.38
geometric_shapes_112,8,0.3
geometric_shapes_112,9,0.32
geometric_shapes_112,10,0.18
geometric_shapes_112,11,0.32
geometric_shapes_112,12,0.46
geometric_shapes_112,13,0.36
geometric_shapes_112,14,0.28
geometric_shapes_112,15,0.38
geometric_shapes_112,16,0.32
geometric_shapes_112,17,0.36
geometric_shapes_112,18,0.36
geometric_shapes_112,19,0.14
geometric_shapes_112,20,0.06
geometric_shapes_112,21,0.34
geometric_shapes_112,22,0.48
geometric_shapes_112,23,0.36
geometric_shapes_112,24,0.46
geometric_shapes_112,25,0.36
geometric_shapes_112,26,0.38
geometric_shapes_112,27,0.52
geometric_shapes_112,28,0.48
geometric_shapes_112,29,0.32
geometric_shapes_112,30,0.4
geometric_shapes_112,31,0.48
geometric_shapes_112,32,0.48
geometric_shapes_112,33,0.42
geometric_shapes_112,34,0.38
geometric_shapes_112,35,0.42
geometric_shapes_112,36,0.34
geometric_shapes_112,37,0.44
geometric_shapes_112,38,0.4
geometric_shapes_112,39,0.44
geometric_shapes_112,40,0.42
geometric_shapes_112,41,0.4
geometric_shapes_112,42,0.38
geometric_shapes_112,43,0.3
geometric_shapes_112,44,0.44
geometric_shapes_112,45,0.38
geometric_shapes_112,46,0.34
geometric_shapes_112,47,0.6
geometric_shapes_112,48,0.26
geometric_shapes_112,49,0.2
geometric_shapes_112,50,0.26
geometric_shapes_112,51,0.24
geometric_shapes_112,52,0.38
geometric_shapes_112,53,0.4
geometric_shapes_112,54,0.32
geometric_shapes_112,55,0.32
geometric_shapes_112,56,0.34
geometric_shapes_112,57,0.32
geometric_shapes_112,58,0.4
geometric_shapes_112,59,0.38
geometric_shapes_112,60,0.4
causal_judgement_9,1,0.56
causal_judgement_9,2,0.54
causal_judgement_9,3,0.58
causal_judgement_9,4,0.6
causal_judgement_9,5,0.58
causal_judgement_9,6,0.52
causal_judgement_9,7,0.6
causal_judgement_9,8,0.56
causal_judgement_9,9,0.58
causal_judgement_9,10,0.58
causal_judgement_9,11,0.54
causal_judgement_9,12,0.62
causal_judgement_9,13,0.62
causal_judgement_9,14,0.68
causal_judgement_9,15,0.56
causal_judgement_9,16,0.5
causal_judgement_9,17,0.56
causal_judgement_9,18,0.6
causal_judgement_9,19,0.54
causal_judgement_9,20,0.6
causal_judgement_9,21,0.58
causal_judgement_9,22,0.64
causal_judgement_9,23,0.54
causal_judgement_9,24,0.64
causal_judgement_9,25,0.64
causal_judgement_9,26,0.58
causal_judgement_9,27,0.54
causal_judgement_9,28,0.54
causal_judgement_9,29,0.56
causal_judgement_9,30,0.66
causal_judgement_9,31,0.58
causal_judgement_9,32,0.56
causal_judgement_9,33,0.6
causal_judgement_9,34,0.54
causal_judgement_9,35,0.7
causal_judgement_9,36,0.64
object_counting_3,1,0.28
object_counting_3,2,0.24
object_counting_3,3,0.22
object_counting_3,4,0.36
object_counting_3,5,0.26
object_counting_3,6,0.34
object_counting_3,7,0.22
object_counting_3,8,0.32
object_counting_3,9,0.26
object_counting_3,10,0.52
object_counting_3,11,0.48
object_counting_3,12,0.2
object_counting_3,13,0.6
object_counting_3,14,0.46
object_counting_3,15,0.66
object_counting_3,16,0.36
object_counting_3,17,0.4
object_counting_3,18,0.64
object_counting_3,19,0.38
object_counting_3,20,0.68
object_counting_3,21,0.56
object_counting_3,22,0.46
object_counting_3,23,0.3
object_counting_3,24,0.8
object_counting_3,25,0.4
object_counting_3,26,0.38
object_counting_3,27,0.34
object_counting_3,28,0.46
object_counting_3,29,0.6
object_counting_3,30,0.52
object_counting_3,31,0.64
object_counting_3,32,0.44
object_counting_3,33,0.28
object_counting_3,34,0.46
object_counting_3,35,0.7
object_counting_3,36,0.32
object_counting_3,37,0.24
object_counting_3,38,0.16
object_counting_3,39,0.28
object_counting_3,40,0.28
object_counting_3,41,0.62
object_counting_3,42,0.74
object_counting_3,43,0.22
object_counting_3,44,0.76
object_counting_3,45,0.5
object_counting_3,46,0.78
object_counting_3,47,0.54
object_counting_3,48,0.32
epistemic_375,1,0.6
epistemic_375,2,0.56
epistemic_375,3,0.44
epistemic_375,4,0.74
epistemic_375,5,0.52
epistemic_375,6,0.48
epistemic_375,7,0.7
epistemic_375,8,0.76
epistemic_375,9,0.64
epistemic_375,10,0.62
epistemic_375,11,0.64
epistemic_375,12,0.48
epistemic_375,13,0.54
epistemic_375,14,0.48
epistemic_375,15,0.56
epistemic_375,16,0.52
epistemic_375,17,0.82
epistemic_375,18,0.78
epistemic_375,19,0.82
epistemic_375,20,0.66
epistemic_375,21,0.6
epistemic_375,22,0.6
epistemic_375,23,0.86
epistemic_375,24,0.38
epistemic_375,25,0.58
epistemic_375,26,0.74
epistemic_375,27,0.6
epistemic_375,28,0.5
epistemic_375,29,0.58
epistemic_375,30,0.52
epistemic_250,1,0.72
epistemic_250,2,0.56
epistemic_250,3,0.54
epistemic_250,4,0.66
epistemic_250,5,0.6
epistemic_250,6,0.74
epistemic_250,7,0.44
epistemic_250,8,0.52
epistemic_250,9,0.62
epistemic_250,10,0.68
epistemic_250,11,0.64
epistemic_250,12,0.64
epistemic_250,13,0.66
epistemic_250,14,0.78
epistemic_250,15,0.66
epistemic_250,16,0.36
epistemic_250,17,0.58
epistemic_250,18,0.58
epistemic_250,19,0.78
epistemic_250,20,0.68
epistemic_250,21,0.74
epistemic_250,22,0.64
epistemic_250,23,0.7
epistemic_250,24,0.58
epistemic_250,25,0.54
epistemic_250,26,0.56
epistemic_250,27,0.64
epistemic_250,28,0.6
epistemic_250,29,0.58
epistemic_250,30,0.52
temporal_sequences_3,1,0.38
temporal_sequences_3,2,0.52
temporal_sequences_3,3,0.46
temporal_sequences_3,4,0.84
temporal_sequences_3,5,0.76
temporal_sequences_3,6,0.62
temporal_sequences_3,7,0.46
temporal_sequences_3,8,0.74
temporal_sequences_3,9,0.56
temporal_sequences_3,10,0.88
temporal_sequences_3,11,0.72
temporal_sequences_3,12,0.76
temporal_sequences_3,13,0.74
temporal_sequences_3,14,0.8
temporal_sequences_3,15,0.22
temporal_sequences_3,16,0.66
temporal_sequences_3,17,0.74
temporal_sequences_3,18,0.68
temporal_sequences_3,19,0.8
temporal_sequences_3,20,0.78
temporal_sequences_3,21,0.52
temporal_sequences_3,22,0.72
temporal_sequences_3,23,0.7
temporal_sequences_3,24,0.78
temporal_sequences_3,25,0.84
temporal_sequences_3,26,0.68
temporal_sequences_3,27,0.76
temporal_sequences_3,28,0.94
temporal_sequences_3,29,0.64
geometric_shapes_22,1,0.44
geometric_shapes_22,2,0.28
geometric_shapes_22,3,0.34
geometric_shapes_22,4,0.34
geometric_shapes_22,5,0.3
geometric_shapes_22,6,0.54
geometric_shapes_22,7,0.38
geometric_shapes_22,8,0.46
geometric_shapes_22,9,0.28
geometric_shapes_22,10,0.48
geometric_shapes_22,11,0.5
geometric_shapes_22,12,0.32
geometric_shapes_22,13,0.44
geometric_shapes_22,14,0.36
geometric_shapes_22,15,0.56
geometric_shapes_22,16,0.48
geometric_shapes_22,17,0.48
geometric_shapes_22,18,0.4
geometric_shapes_22,19,0.42
geometric_shapes_22,20,0.32
geometric_shapes_22,21,0.34
geometric_shapes_22,22,0.4
geometric_shapes_22,23,0.42
geometric_shapes_22,24,0.36
geometric_shapes_22,25,0.34
geometric_shapes_22,26,0.34
geometric_shapes_22,27,0.28
geometric_shapes_22,28,0.28
geometric_shapes_22,29,0.42
geometric_shapes_22,30,0.32
geometric_shapes_22,31,0.32
geometric_shapes_22,32,0.4
geometric_shapes_22,33,0.42
geometric_shapes_22,34,0.46
geometric_shapes_22,35,0.4
geometric_shapes_22,36,0.2
geometric_shapes_22,37,0.44
geometric_shapes_22,38,0.26
geometric_shapes_22,39,0.42
geometric_shapes_22,40,0.34
geometric_shapes_22,41,0.4
geometric_shapes_22,42,0.46
geometric_shapes_22,43,0.2
geometric_shapes_22,44,0.38
geometric_shapes_22,45,0.42
geometric_shapes_22,46,0.42
geometric_shapes_22,47,0.48
geometric_shapes_22,48,0.32
geometric_shapes_22,49,0.32
geometric_shapes_22,50,0.48
geometric_shapes_22,51,0.38
geometric_shapes_22,52,0.38
geometric_shapes_22,53,0.52
geometric_shapes_22,54,0.46
epistemic_25,1,0.7
epistemic_25,2,0.58
epistemic_25,3,0.64
epistemic_25,4,0.68
epistemic_25,5,0.76
epistemic_25,6,0.76
epistemic_25,7,0.7
epistemic_25,8,0.68
epistemic_25,9,0.88
epistemic_25,10,0.66
epistemic_25,11,0.44
epistemic_25,12,0.72
epistemic_25,13,0.74
epistemic_25,14,0.52
epistemic_25,15,0.48
epistemic_25,16,0.88
epistemic_25,17,0.7
epistemic_25,18,0.68
epistemic_25,19,0.54
epistemic_25,20,0.64
epistemic_25,21,0.8
epistemic_25,22,0.6
epistemic_25,23,0.9
epistemic_25,24,0.68
epistemic_25,25,0.68
epistemic_25,26,0.76
epistemic_25,27,0.52
epistemic_25,28,0.6
epistemic_25,29,0.32
epistemic_25,30,0.7
temporal_sequences_150,1,0.72
temporal_sequences_150,2,0.34
temporal_sequences_150,3,0.36
temporal_sequences_150,4,0.82
temporal_sequences_150,5,0.62
temporal_sequences_150,6,0.78
temporal_sequences_150,7,0.82
temporal_sequences_150,8,0.78
temporal_sequences_150,9,0.8
temporal_sequences_150,10,0.7
temporal_sequences_150,11,0.78
temporal_sequences_150,12,0.8
temporal_sequences_150,13,0.88
temporal_sequences_150,14,0.78
temporal_sequences_150,15,0.84
temporal_sequences_150,16,0.66
temporal_sequences_150,17,0.66
temporal_sequences_150,18,0.8
temporal_sequences_150,19,0.8
temporal_sequences_150,20,0.9
temporal_sequences_150,21,0.9
temporal_sequences_150,22,0.92
temporal_sequences_150,23,0.78
temporal_sequences_150,24,0.8
temporal_sequences_150,25,0.78
temporal_sequences_150,26,0.8
temporal_sequences_150,27,0.88
temporal_sequences_150,28,0.84
temporal_sequences_150,29,0.64
temporal_sequences_150,30,0.84
temporal_sequences_150,31,0.82
temporal_sequences_150,32,0.84
temporal_sequences_150,33,0.68
temporal_sequences_150,34,0.8
temporal_sequences_150,35,0.54
temporal_sequences_150,36,0.76
temporal_sequences_150,37,0.6
temporal_sequences_150,38,0.62
temporal_sequences_150,39,0.7
temporal_sequences_150,40,0.72
temporal_sequences_150,41,0.9
temporal_sequences_150,42,0.84
geometric_shapes_7,1,0.22
geometric_shapes_7,2,0.38
geometric_shapes_7,3,0.2
geometric_shapes_7,4,0.34
geometric_shapes_7,5,0.4
geometric_shapes_7,6,0.38
geometric_shapes_7,7,0.34
geometric_shapes_7,8,0.34
geometric_shapes_7,9,0.4
geometric_shapes_7,10,0.42
geometric_shapes_7,11,0.42
geometric_shapes_7,12,0.52
geometric_shapes_7,13,0.26
geometric_shapes_7,14,0.38
geometric_shapes_7,15,0.34
geometric_shapes_7,16,0.26
geometric_shapes_7,17,0.4
geometric_shapes_7,18,0.28
geometric_shapes_7,19,0.44
geometric_shapes_7,20,0.42
geometric_shapes_7,21,0.44
geometric_shapes_7,22,0.36
geometric_shapes_7,23,0.34
geometric_shapes_7,24,0.34
geometric_shapes_7,25,0.32
geometric_shapes_7,26,0.42
geometric_shapes_7,27,0.36
geometric_shapes_7,28,0.32
geometric_shapes_7,29,0.38
geometric_shapes_7,30,0.32
geometric_shapes_7,31,0.42
geometric_shapes_7,32,0.46
geometric_shapes_7,33,0.4
geometric_shapes_7,34,0.4
geometric_shapes_7,35,0.48
geometric_shapes_7,36,0.48
geometric_shapes_7,37,0.44
geometric_shapes_7,38,0.44
geometric_shapes_7,39,0.48
geometric_shapes_7,40,0.38
geometric_shapes_7,41,0.42
geometric_shapes_7,42,0.62
geometric_shapes_7,43,0.4
geometric_shapes_7,44,0.5
geometric_shapes_7,45,0.54
geometric_shapes_7,46,0.34
geometric_shapes_7,47,0.44
geometric_shapes_7,48,0.4
geometric_shapes_7,49,0.16
geometric_shapes_7,50,0.32
geometric_shapes_7,51,0.44
geometric_shapes_7,52,0.36
geometric_shapes_7,53,0.32
geometric_shapes_7,54,0.44
geometric_shapes_7,55,0.4
geometric_shapes_7,56,0.44
geometric_shapes_7,57,0.28
geometric_shapes_7,58,0.5
geometric_shapes_7,59,0.44
geometric_shapes_7,60,0.38
epistemic_50,1,0.64
epistemic_50,2,0.68
epistemic_50,3,0.7
epistemic_50,4,0.74
epistemic_50,5,0.68
epistemic_50,6,0.62
epistemic_50,7,0.72
epistemic_50,8,0.64
epistemic_50,9,0.74
epistemic_50,10,0.76
epistemic_50,11,0.76
epistemic_50,12,0.72
epistemic_50,13,0.52
epistemic_50,14,0.72
epistemic_50,15,0.78
epistemic_50,16,0.74
epistemic_50,17,0.7
epistemic_50,18,0.74
epistemic_50,19,0.76
epistemic_50,20,0.76
epistemic_50,21,0.7
epistemic_50,22,0.84
epistemic_50,23,0.74
epistemic_50,24,0.46
epistemic_50,25,0.8
epistemic_50,26,0.6
epistemic_50,27,0.78
epistemic_50,28,0.76
epistemic_50,29,0.76
epistemic_50,30,0.72
epistemic_50,31,0.78
epistemic_50,32,0.56
epistemic_50,33,0.52
epistemic_50,34,0.64
epistemic_50,35,0.58
epistemic_50,36,0.62
temporal_sequences_60,1,0.68
temporal_sequences_60,2,0.68
temporal_sequences_60,3,0.46
temporal_sequences_60,4,0.78
temporal_sequences_60,5,0.78
temporal_sequences_60,6,0.74
temporal_sequences_60,7,0.64
temporal_sequences_60,8,0.58
temporal_sequences_60,9,0.84
temporal_sequences_60,10,0.74
temporal_sequences_60,11,0.92
temporal_sequences_60,12,0.74
temporal_sequences_60,13,0.44
temporal_sequences_60,14,0.78
temporal_sequences_60,15,0.76
temporal_sequences_60,16,0.76
temporal_sequences_60,17,0.82
temporal_sequences_60,18,0.9
temporal_sequences_60,19,0.84
temporal_sequences_60,20,0.72
temporal_sequences_60,21,0.82
temporal_sequences_60,22,0.7
temporal_sequences_60,23,0.72
temporal_sequences_60,24,0.78
temporal_sequences_60,25,0.84
temporal_sequences_60,26,0.7
temporal_sequences_60,27,0.66
temporal_sequences_60,28,0.94
temporal_sequences_60,29,0.66
temporal_sequences_60,30,0.84
temporal_sequences_60,31,0.52
temporal_sequences_60,32,0.54
temporal_sequences_60,33,0.64
temporal_sequences_15,1,0.56
temporal_sequences_15,2,0.86
temporal_sequences_15,3,0.48
temporal_sequences_15,4,0.76
temporal_sequences_15,5,0.58
temporal_sequences_15,6,0.36
temporal_sequences_15,7,0.68
temporal_sequences_15,8,0.48
temporal_sequences_15,9,0.62
temporal_sequences_15,10,0.68
temporal_sequences_15,11,0.5
temporal_sequences_15,12,0.8
temporal_sequences_15,13,0.54
temporal_sequences_15,14,0.84
temporal_sequences_15,15,0.62
temporal_sequences_15,16,0.76
temporal_sequences_15,17,0.48
temporal_sequences_15,18,0.86
temporal_sequences_15,19,0.74
temporal_sequences_15,20,0.6
temporal_sequences_15,21,0.5
temporal_sequences_15,22,0.58
temporal_sequences_15,23,0.76
temporal_sequences_15,24,0.7
temporal_sequences_15,25,0.46
temporal_sequences_15,26,0.64
temporal_sequences_15,27,0.42
temporal_sequences_15,28,0.3
temporal_sequences_15,29,0.36
temporal_sequences_15,30,0.5
temporal_sequences_15,31,0.58
temporal_sequences_15,32,0.8
temporal_sequences_15,33,0.48
causal_judgement_45,1,0.6
causal_judgement_45,2,0.58
causal_judgement_45,3,0.6
causal_judgement_45,4,0.56
causal_judgement_45,5,0.62
causal_judgement_45,6,0.56
causal_judgement_45,7,0.56
causal_judgement_45,8,0.4
causal_judgement_45,9,0.62
causal_judgement_45,10,0.56
causal_judgement_45,11,0.66
causal_judgement_45,12,0.66
causal_judgement_45,13,0.64
causal_judgement_45,14,0.54
causal_judgement_45,15,0.66
causal_judgement_45,16,0.7
causal_judgement_45,17,0.58
causal_judgement_45,18,0.74
causal_judgement_45,19,0.66
causal_judgement_45,20,0.54
causal_judgement_45,21,0.62
causal_judgement_45,22,0.64
causal_judgement_45,23,0.6
causal_judgement_45,24,0.62
causal_judgement_45,25,0.58
causal_judgement_45,26,0.54
causal_judgement_45,27,0.5
causal_judgement_45,28,0.58
causal_judgement_45,29,0.6
causal_judgement_45,30,0.62
causal_judgement_45,31,0.62
causal_judgement_45,32,0.7
causal_judgement_45,33,0.52
causal_judgement_45,34,0.62
causal_judgement_45,35,0.52
causal_judgement_45,36,0.48
causal_judgement_45,37,0.6
causal_judgement_45,38,0.54
causal_judgement_45,39,0.72
causal_judgement_45,40,0.58
causal_judgement_45,41,0.56
causal_judgement_45,42,0.64
causal_judgement_45,43,0.52
causal_judgement_45,44,0.46
causal_judgement_45,45,0.6
object_counting_150,1,0.22
object_counting_150,2,0.16
object_counting_150,3,0.3
object_counting_150,4,0.18
object_counting_150,5,0.3
object_counting_150,6,0.22
object_counting_150,7,0.32
object_counting_150,8,0.04
object_counting_150,9,0.64
object_counting_150,10,0.4
object_counting_150,11,0.34
object_counting_150,12,0.52
object_counting_150,13,0.84
object_counting_150,14,0.2
object_counting_150,15,0.72
object_counting_150,16,0.3
object_counting_150,17,0.52
object_counting_150,18,0.34
object_counting_150,19,0.46
object_counting_150,20,0.3
object_counting_150,21,0.88
object_counting_150,22,0.22
object_counting_150,23,0.2
object_counting_150,24,0.36
object_counting_150,25,0.24
object_counting_150,26,0.2
object_counting_150,27,0.22
object_counting_150,28,0.18
object_counting_150,29,0.12
object_counting_150,30,0.56
object_counting_150,31,0.78
object_counting_150,32,0.58
object_counting_150,33,0.56
object_counting_150,34,0.6
object_counting_150,35,0.48
object_counting_150,36,0.6
object_counting_150,37,0.62
object_counting_150,38,0.54
object_counting_150,39,0.54
object_counting_150,40,0.48
object_counting_150,41,0.72
object_counting_150,42,0.5
temporal_sequences_75,1,0.28
temporal_sequences_75,2,0.52
temporal_sequences_75,3,0.2
temporal_sequences_75,4,0.6
temporal_sequences_75,5,0.7
temporal_sequences_75,6,0.76
temporal_sequences_75,7,0.72
temporal_sequences_75,8,0.72
temporal_sequences_75,9,0.88
temporal_sequences_75,10,0.76
temporal_sequences_75,11,0.88
temporal_sequences_75,12,0.66
temporal_sequences_75,13,0.86
temporal_sequences_75,14,0.82
temporal_sequences_75,15,0.82
temporal_sequences_75,16,0.74
temporal_sequences_75,17,0.86
temporal_sequences_75,18,0.8
temporal_sequences_75,19,0.28
temporal_sequences_75,20,0.78
temporal_sequences_75,21,0.74
temporal_sequences_75,22,0.82
temporal_sequences_75,23,0.72
temporal_sequences_75,24,0.74
temporal_sequences_75,25,0.84
temporal_sequences_75,26,0.56
temporal_sequences_75,27,0.68
temporal_sequences_75,28,0.58
temporal_sequences_75,29,0.58
temporal_sequences_75,30,0.86
temporal_sequences_75,31,0.86
temporal_sequences_75,32,0.68
temporal_sequences_75,33,0.76
temporal_sequences_30,1,0.34
temporal_sequences_30,2,0.68
temporal_sequences_30,3,0.44
temporal_sequences_30,4,0.6
temporal_sequences_30,5,0.56
temporal_sequences_30,6,0.66
temporal_sequences_30,7,0.58
temporal_sequences_30,8,0.68
temporal_sequences_30,9,0.68
temporal_sequences_30,10,0.5
temporal_sequences_30,11,0.82
temporal_sequences_30,12,0.7
temporal_sequences_30,13,0.46
temporal_sequences_30,14,0.64
temporal_sequences_30,15,0.42
temporal_sequences_30,16,0.64
temporal_sequences_30,17,0.86
temporal_sequences_30,18,0.78
temporal_sequences_30,19,0.72
temporal_sequences_30,20,0.8
temporal_sequences_30,21,0.64
temporal_sequences_30,22,0.56
temporal_sequences_30,23,0.76
temporal_sequences_30,24,0.62
temporal_sequences_30,25,0.7
temporal_sequences_30,26,0.66
temporal_sequences_30,27,0.6
temporal_sequences_30,28,0.92
temporal_sequences_30,29,0.94
temporal_sequences_30,30,0.8
temporal_sequences_30,31,0.78
temporal_sequences_30,32,0.68
temporal_sequences_30,33,0.82
temporal_sequences_30,34,0.92
temporal_sequences_30,35,0.78
temporal_sequences_30,36,0.92
epistemic_500,1,0.48
epistemic_500,2,0.62
epistemic_500,3,0.46
epistemic_500,4,0.48
epistemic_500,5,0.54
epistemic_500,6,0.52
epistemic_500,7,0.7
epistemic_500,8,0.28
epistemic_500,9,0.64
epistemic_500,10,0.4
epistemic_500,11,0.58
epistemic_500,12,0.62
epistemic_500,13,0.5
epistemic_500,14,0.62
epistemic_500,15,0.5
epistemic_500,16,0.62
epistemic_500,17,0.64
epistemic_500,18,0.6
epistemic_500,19,0.64
epistemic_500,20,0.56
epistemic_500,21,0.64
epistemic_500,22,0.74
epistemic_500,23,0.54
epistemic_500,24,0.76
epistemic_500,25,0.52
epistemic_500,26,0.72
epistemic_500,27,0.68
epistemic_500,28,0.42
epistemic_500,29,0.86
epistemic_500,30,0.6
epistemic_500,31,0.62
epistemic_500,32,0.66
epistemic_500,33,0.44
epistemic_500,34,0.72
epistemic_500,35,0.56
epistemic_500,36,0.68
epistemic_500,37,0.74
epistemic_500,38,0.48
epistemic_500,39,0.66
epistemic_500,40,0.8
epistemic_500,41,0.88
epistemic_500,42,0.72
temporal_sequences_45,1,0.3
temporal_sequences_45,2,0.18
temporal_sequences_45,3,0.54
temporal_sequences_45,4,0.48
temporal_sequences_45,5,0.58
temporal_sequences_45,6,0.46
temporal_sequences_45,7,0.8
temporal_sequences_45,8,0.86
temporal_sequences_45,9,0.3
temporal_sequences_45,10,0.6
temporal_sequences_45,11,0.62
temporal_sequences_45,12,0.68
temporal_sequences_45,13,0.68
temporal_sequences_45,14,0.88
temporal_sequences_45,15,0.74
temporal_sequences_45,16,0.84
temporal_sequences_45,17,0.64
temporal_sequences_45,18,0.86
temporal_sequences_45,19,0.78
temporal_sequences_45,20,0.96
temporal_sequences_45,21,0.82
temporal_sequences_45,22,0.7
temporal_sequences_45,23,0.82
temporal_sequences_45,24,0.78
temporal_sequences_45,25,0.68
temporal_sequences_45,26,0.58
temporal_sequences_45,27,0.66
temporal_sequences_45,28,0.8
temporal_sequences_45,29,0.78
temporal_sequences_45,30,0.68
temporal_sequences_45,31,0.68
